timestamp,grid_id,event_count_30d,event_count_lag1,max_mag_30d,mean_depth_30d,cum_energy_30d,recent_m45_30d,target_m5_14d,m5_count_next_14d,log_cum_energy_30d,log_event_count_30d,log_event_count_lag1,mean_depth_imputed
2000-02-01 23:18:53.720,Central (35–40N) | East (138–146E),10,0,5.4,50.519999999999996,13639714910892.49,1,1,1,13.134805293053619,2.3978952727983707,0.0,50.519999999999996
2000-02-01 23:18:53.720,Central (35–40N) | West (130–138E),0,0,0.0,,0.0,0,0,0,0.0,0.0,0.0,86.05303030303031
2000-02-01 23:18:53.720,North (40–45N) | East (138–146E),8,0,4.8,65.3625,3068402181431.6455,1,0,0,12.486912282828955,2.1972245773362196,0.0,65.3625
2000-02-01 23:18:53.720,North (40–45N) | West (130–138E),1,0,3.5,541.0,11220184543.019653,0,1,1,10.050000000038708,0.6931471805599453,0.0,541.0
2000-02-01 23:18:53.720,South (30–35N) | East (138–146E),7,0,5.3,157.8714285714286,7669244643165.984,1,1,2,12.884752591659687,2.0794415416798357,0.0,157.8714285714286
2000-02-01 23:18:53.720,South (30–35N) | West (130–138E),6,0,5.5,94.28333333333332,12578637138904.836,1,0,0,13.09963358903325,1.9459101490553132,0.0,94.28333333333332
2000-03-02 23:18:53.720,Central (35–40N) | East (138–146E),14,10,5.4,43.91428571428571,13799865712519.76,1,0,0,13.139874860271165,2.70805020110221,2.3978952727983707,43.91428571428571
2000-03-02 23:18:53.720,Central (35–40N) | West (130–138E),0,0,0.0,,0.0,0,0,0,0.0,0.0,0.0,86.05303030303031
2000-03-02 23:18:53.720,North (40–45N) | East (138–146E),9,8,4.8,96.56666666666666,2501237774631.8813,1,0,0,12.39815497893664,2.302585092994046,2.1972245773362196,96.56666666666666
2000-03-02 23:18:53.720,North (40–45N) | West (130–138E),1,1,6.0,513.6,63095734448019.43,1,0,0,13.800000000000008,0.6931471805599453,0.6931471805599453,513.6
2000-03-02 23:18:53.720,South (30–35N) | East (138–146E),8,7,5.4,99.3125,15200296969756.123,1,0,0,13.181852072883386,2.1972245773362196,2.0794415416798357,99.3125
2000-03-02 23:18:53.720,South (30–35N) | West (130–138E),4,6,4.3,194.525,380011618000.08936,0,0,0,11.579796874397426,1.6094379124341003,1.9459101490553132,194.525
2000-04-01 23:18:53.720,Central (35–40N) | East (138–146E),8,14,5.3,47.175,6843781898707.992,1,0,0,12.835296160761455,2.1972245773362196,2.70805020110221,47.175
2000-04-01 23:18:53.720,Central (35–40N) | West (130–138E),2,0,4.2,226.95,141741473104.02823,0,0,0,11.151496942028295,1.0986122886681098,0.0,226.95
2000-04-01 23:18:53.720,North (40–45N) | East (138–146E),31,9,5.0,29.916129032258063,8585752995776.901,1,1,1,12.933778390070078,3.4657359027997265,2.302585092994046,29.916129032258063
2000-04-01 23:18:53.720,North (40–45N) | West (130–138E),2,1,4.5,375.75,480705930412.99316,1,0,0,11.681879480002966,1.0986122886681098,0.6931471805599453,375.75
2000-04-01 23:18:53.720,South (30–35N) | East (138–146E),8,8,5.4,123.69999999999999,9564083920902.541,1,0,0,12.980643378215948,2.1972245773362196,2.1972245773362196,123.69999999999999
2000-04-01 23:18:53.720,South (30–35N) | West (130–138E),2,4,4.3,210.6,266953034817.26666,0,1,1,11.426434862438112,1.0986122886681098,1.6094379124341003,210.6
2000-05-01 23:18:53.720,Central (35–40N) | East (138–146E),16,8,4.9,53.46875,4821986945184.512,1,0,0,12.683226030255128,2.833213344056216,2.1972245773362196,53.46875
2000-05-01 23:18:53.720,Central (35–40N) | West (130–138E),2,2,5.5,357.1,11283280277467.672,1,0,0,13.052435376181256,1.0986122886681098,1.0986122886681098,357.1
2000-05-01 23:18:53.720,North (40–45N) | East (138–146E),19,31,5.6,68.98421052631579,48579693175934.82,1,1,1,13.68645476752101,2.995732273553991,3.4657359027997265,68.98421052631579
2000-05-01 23:18:53.720,North (40–45N) | West (130–138E),0,2,0.0,,0.0,0,0,0,0.0,0.0,1.0986122886681098,86.05303030303031
2000-05-01 23:18:53.720,South (30–35N) | East (138–146E),9,8,4.6,123.77777777777777,1877153458370.6633,1,0,0,12.273499777895593,2.302585092994046,2.1972245773362196,123.77777777777777
